Account Transactions
C Cubed Training
Date Range: 2025-01-01 to 2025-11-12
Report Type: Cash Basis (Paid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,Cash on Hand,,,,
Starting Balance,,,,,"$15,094.68"
,2025-01-03,3d Printer Filliment - Ink,,$26.25,"$15,068.43"
,2025-01-03,Compass Farm Charactoers,,$108.00,"$14,960.43"
,2025-01-04,Albertson's,,$93.05,"$14,867.38"
,2025-01-04,Amazon Purchase of Supplies,,$406.52,"$14,460.86"
,2025-01-04,Gift Card,,$40.00,"$14,420.86"
,2025-01-04,Loaf N Jug,,$34.99,"$14,385.87"
,2025-01-05,7-11,,$23.85,"$14,362.02"
,2025-01-06,WIX,,$17.35,"$14,344.67"
,2025-01-10,Verizon Wireless,,$800.97,"$13,543.70"
,2025-01-10,Food for Pueblo Class,,$20.95,"$13,522.75"
,2025-01-10,Walmart,,$51.78,"$13,470.97"
,2025-01-11,Loaf N Jug,,$38.02,"$13,432.95"
,2025-01-12,Advertisement Booth At Wold Lodge,,$150.00,"$13,282.95"
,2025-01-14,Colorado Secretary of State,,$404.24,"$12,878.71"
,2025-01-14,Food for Pueblo Class,,$30.00,"$12,848.71"
,2025-01-15,Identigo,,$56.00,"$12,792.71"
,2025-01-15,Walmart,,$16.78,"$12,775.93"
,2025-01-16,SECOM,,$64.95,"$12,710.98"
,2025-01-16,San Isabel Electric,,$110.56,"$12,600.42"
,2025-01-17,MakeStickers,,$66.80,"$12,533.62"
,2025-01-17,J & M Solutions,,"$2,000.00","$10,533.62"
,2025-01-17,Food for Centennial,,$20.96,"$10,512.66"
,2025-01-17,Sam's Club,,$84.38,"$10,428.28"
,2025-01-17,Sam's Club Gas Station,,$32.50,"$10,395.78"
,2025-01-18,City of Walsenburg,,$343.14,"$10,052.64"
,2025-01-19,Colorado Dept of Education,,$93.60,"$9,959.04"
,2025-01-19,Amazon Marketplace,,$103.52,"$9,855.52"
,2025-01-20,PC Name Tag,,$264.22,"$9,591.30"
,2025-01-21,Staples,,$79.52,"$9,511.78"
,2025-01-22,WIX,,$228.00,"$9,283.78"
,2025-01-22,Walmart,,$67.89,"$9,215.89"
,2025-01-24,Maverick in Pueblo,,$32.00,"$9,183.89"
,2025-01-24,Progressive,,"$2,275.20","$6,908.69"
,2025-01-24,Staples,,$21.24,"$6,887.45"
,2025-01-24,Staples,,$58.09,"$6,829.36"
,2025-01-25,Dunkin Doughnuts,,$6.96,"$6,822.40"
,2025-01-26,Dollar General,,$20.72,"$6,801.68"
,2025-01-28,Love's outside Walsenburg,,$33.00,"$6,768.68"
,2025-01-28,National Cyber League,,$350.00,"$6,418.68"
,2025-01-28,Food for Pueblo Class,,$30.86,"$6,387.82"
,2025-01-28,BOCES,"$6,852.64",,"$13,240.46"
,2025-01-29,Battelle Grant,"$20,000.00",,"$33,240.46"
,2025-01-29,Papa's Restaurant,,$107.39,"$33,133.07"
,2025-01-30,Rent,,"$1,500.00","$31,633.07"
,2025-01-31,Walmart,,$22.48,"$31,610.59"
,2025-02-01,VIOC - Valvoline Instant Oil Change,,$94.99,"$31,515.60"
,2025-02-01,Amazon - Test Drone or Robot,,$14.11,"$31,501.49"
,2025-02-02,7-11,,$22.85,"$31,478.64"
,2025-02-03,First Choice,,$14.95,"$31,463.69"
,2025-02-03,Dollar General,,$10.00,"$31,453.69"
,2025-02-04,Loaf N Jug,,$32.76,"$31,420.93"
,2025-02-04,Cash Withdrawal,,$200.00,"$31,220.93"
,2025-02-04,Refund on taxes from EchoPark,$545.04,,"$31,765.97"
,2025-02-04,PO Box 497 Pueblo,,$30.86,"$31,735.11"
,2025-02-04,School Choice,$100.00,,"$31,835.11"
,2025-02-05,Walmart,,$18.52,"$31,816.59"
,2025-02-06,Beaver Run Resort,,$101.76,"$31,714.83"
,2025-02-07,InnEdCo,,$402.00,"$31,312.83"
,2025-02-07,Fizolis,,$53.20,"$31,259.63"
,2025-02-07,Walmart,,$51.96,"$31,207.67"
,2025-02-08,National Cyber League,,$105.00,"$31,102.67"
,2025-02-09,Safeway,,$12.70,"$31,089.97"
,2025-02-09,National Cyber League,,$70.00,"$31,019.97"
,2025-02-09,7-11,,$22.85,"$30,997.12"
,2025-02-10,Verizon,,$790.43,"$30,206.69"
,2025-02-10,Loaf N Jug,,$37.74,"$30,168.95"
,2025-02-11,The Broadmoor,,$192.54,"$29,976.41"
,2025-02-11,The Broadmoor,,$14.00,"$29,962.41"
,2025-02-11,Loaf N Jug,,$23.80,"$29,938.61"
,2025-02-11,Tech Soup,,$119.00,"$29,819.61"
,2025-02-14,Carl's Jr,,$15.47,"$29,804.14"
,2025-02-14,Albertson's,,$55.17,"$29,748.97"
,2025-02-16,7-11,,$22.56,"$29,726.41"
,2025-02-17,City of Walsenburg,,$379.13,"$29,347.28"
,2025-02-17,Invoice Payment,,"$2,000.00","$27,347.28"
,2025-02-18,San Isabel Electric,,$132.92,"$27,214.36"
,2025-02-18,Loaf N Jug,,$40.84,"$27,173.52"
,2025-02-19,SECOM,,$64.95,"$27,108.57"
,2025-02-19,PO BOX - Uber Eats Delivery,,$19.35,"$27,089.22"
,2025-02-21,Avainds,,$26.10,"$27,063.12"
,2025-02-21,Walmart,,$11.49,"$27,051.63"
,2025-02-22,TA Express,,$40.05,"$27,011.58"
,2025-02-23,Wave Apps Pro,,$170.00,"$26,841.58"
,2025-02-23,7-11,,$22.85,"$26,818.73"
,2025-02-24,Sam's Club,,$86.96,"$26,731.77"
,2025-02-25,Maverick Gas Station,,$45.44,"$26,686.33"
,2025-02-25,P.O. Box,,$33.66,"$26,652.67"
,2025-02-26,Amazon - Test Robot and Give aways,,$88.75,"$26,563.92"
,2025-02-26,Walmart,,$13.75,"$26,550.17"
,2025-02-26,Alta Convivence,,$34.99,"$26,515.18"
,2025-02-27,Walmart,,$20.56,"$26,494.62"
,2025-02-27,EdRenvisioned,"$6,876.78",,"$33,371.40"
,2025-02-28,Rent payment,,"$1,500.00","$31,871.40"
,2025-03-01,Amazon - Solar Robot,,$635.39,"$31,236.01"
,2025-03-01,Amazon - Flying Orb,,$106.09,"$31,129.92"
,2025-03-01,Amazon Purchase - Solar Robots,,$633.10,"$30,496.82"
,2025-03-03,Loaf N Jug,,$32.50,"$30,464.32"
,2025-03-03,PO BOX - Door Dash,,$19.35,"$30,444.97"
,2025-03-04,Amazon - Drones,,$227.89,"$30,217.08"
,2025-03-04,PO BOX - Door Dash,,$31.46,"$30,185.62"
,2025-03-04,Walmart,,$32.49,"$30,153.13"
,2025-03-05,Sam's Club,,$57.30,"$30,095.83"
,2025-03-07,Maverick,,$36.99,"$30,058.84"
,2025-03-09,Amazon - Drones,,$233.19,"$29,825.65"
,2025-03-09,7-11,,$22.85,"$29,802.80"
,2025-03-10,Verizon,,"$1,378.11","$28,424.69"
,2025-03-11,Makestickers  - Girls in IT,,$123.35,"$28,301.34"
,2025-03-11,Walmart,,$10.64,"$28,290.70"
,2025-03-12,Sam's Club,,$16.55,"$28,274.15"
,2025-03-13,Summer Camp,$48.54,,"$28,322.69"
,2025-03-14,Circle K,,$42.02,"$28,280.67"
,2025-03-14,Summer Camp,$48.54,,"$28,329.21"
,2025-03-15,Amazon - Drones,,$285.99,"$28,043.22"
,2025-03-16,Apro Monument,,$20.60,"$28,022.62"
,2025-03-17,J & M Solutions,,"$2,000.00","$26,022.62"
,2025-03-17,Summer Camp Sign Up,$24.27,,"$26,046.89"
,2025-03-18,City of Walsenburg,,$401.08,"$25,645.81"
,2025-03-18,SECOM,,$64.95,"$25,580.86"
,2025-03-18,San Isabel,,$134.36,"$25,446.50"
,2025-03-18,Sam's Club,,$55.90,"$25,390.60"
,2025-03-18,Square Up Colorado Springs,,$192.00,"$25,198.60"
,2025-03-18,PO Box Pueblo,,$36.59,"$25,162.01"
,2025-03-18,Walmart,,$35.90,"$25,126.11"
,2025-03-19,Sam's Club Fuel Station,,$25.51,"$25,100.60"
,2025-03-19,Square up Colorado Springs,,$210.00,"$24,890.60"
,2025-03-19,Walmart,,$24.00,"$24,866.60"
,2025-03-20,PCC Cafeteria,,$23.87,"$24,842.73"
,2025-03-21,Loaf N Jug,,$26.35,"$24,816.38"
,2025-03-22,UPS,,$14.75,"$24,801.63"
,2025-03-22,4 boys apparel  - T Shirts,,$491.91,"$24,309.72"
,2025-03-23,7-11,,$22.85,"$24,286.87"
,2025-03-24,Amazon - 2 Give away Drones,,$47.64,"$24,239.23"
,2025-03-24,Amazon - ID Card Holders,,$141.85,"$24,097.38"
,2025-03-24,Amazon - Sunglasses,,$61.41,"$24,035.97"
,2025-03-25,Photo Backdrop,,$51.08,"$23,984.89"
,2025-03-26,UPS,,$9.05,"$23,975.84"
,2025-03-26,UPS,,$70.95,"$23,904.89"
,2025-03-26,UPS,,$70.95,"$23,833.94"
,2025-03-26,UPS,,$9.05,"$23,824.89"
,2025-03-26,UPS,,$70.95,"$23,753.94"
,2025-03-26,Las Animas Grill,,$71.70,"$23,682.24"
,2025-03-26,Maverick - Pueblo,,$32.05,"$23,650.19"
,2025-03-28,BOCES,"$6,876.78",,"$30,526.97"
,2025-03-28,Summer Camp,$24.27,,"$30,551.24"
,2025-03-29,Escape Room Kit,,$29.00,"$30,522.24"
,2025-03-30,7-11,,$23.94,"$30,498.30"
,2025-03-31,Safeway,,$22.66,"$30,475.64"
,2025-03-31,Pueblo PB&T,,"$1,500.00","$28,975.64"
,2025-03-31,Summer Camp,$24.27,,"$28,999.91"
,2025-04-01,PO BOX,,$32.66,"$28,967.25"
,2025-04-01,Maverick,,$26.00,"$28,941.25"
,2025-04-02,Sam's Club,,$67.52,"$28,873.73"
,2025-04-04,Amazon,,$77.94,"$28,795.79"
,2025-04-06,TA Express,,$40.48,"$28,755.31"
,2025-04-08,Amazon,,$63.78,"$28,691.53"
,2025-04-08,PO BOX - Food for Pueblo,,$30.25,"$28,661.28"
,2025-04-08,Walmart,,$34.69,"$28,626.59"
,2025-04-08,Wave Transaction,$24.27,,"$28,650.86"
,2025-04-09,Amazon - Laptop Batteries,,$190.40,"$28,460.46"
,2025-04-10,Verizon,,$888.81,"$27,571.65"
,2025-04-10,Solar Roast,,$26.42,"$27,545.23"
,2025-04-11,Champion Xpress,,$22.00,"$27,523.23"
,2025-04-11,Love's Inside,,$10.30,"$27,512.93"
,2025-04-11,Love's Outside,,$11.59,"$27,501.34"
,2025-04-11,Love's Inside,,$27.41,"$27,473.93"
,2025-04-13,7-11,,$22.85,"$27,451.08"
,2025-04-14,Safeway,,$47.19,"$27,403.89"
,2025-04-15,San Isabel,,$114.47,"$27,289.42"
,2025-04-15,Loaf N Jug,,$34.02,"$27,255.40"
,2025-04-15,Little Caesar's,,$31.46,"$27,223.94"
,2025-04-15,Walmart,,$40.04,"$27,183.90"
,2025-04-16,Amazon - Door Prizes,,$93.17,"$27,090.73"
,2025-04-16,SECOM,,$64.95,"$27,025.78"
,2025-04-16,TeachersPayTeachers,,$2.11,"$27,023.67"
,2025-04-16,Walmart,,$29.43,"$26,994.24"
,2025-04-17,Little Caesars,,$19.35,"$26,974.89"
,2025-04-17,J&M Solutions,,"$2,000.00","$24,974.89"
,2025-04-18,Maverick,,$32.20,"$24,942.69"
,2025-04-19,City of Walsenburg,,$293.11,"$24,649.58"
,2025-04-21,Walmart,,$36.32,"$24,613.26"
,2025-04-22,Crumbl Cookie,,$40.00,"$24,573.26"
,2025-04-22,Little Caesar's,,$30.25,"$24,543.01"
,2025-04-22,Maverick,,$32.99,"$24,510.02"
,2025-04-23,Walmart,,$16.12,"$24,493.90"
,2025-04-23,Walmart,,$35.02,"$24,458.88"
,2025-04-24,Sam's Club,,$162.97,"$24,295.91"
,2025-04-24,Little Caesar's,,$145.10,"$24,150.81"
,2025-04-24,Walmart,,$5.94,"$24,144.87"
,2025-04-24,Circle K,,$18.25,"$24,126.62"
,2025-04-24,Circle K,,$7.03,"$24,119.59"
,2025-04-25,Make Stickers,,$193.70,"$23,925.89"
,2025-04-25,Amazon,,$165.33,"$23,760.56"
,2025-04-25,Loves,,$26.83,"$23,733.73"
,2025-04-25,Walmart,,$43.56,"$23,690.17"
,2025-04-26,Loaf N Jug - Colorado City,,$30.04,"$23,660.13"
,2025-04-27,7-11,,$29.37,"$23,630.76"
,2025-04-28,EduReenv BOCES,"$6,876.78",,"$30,507.54"
,2025-04-28,Queensboro,,$158.82,"$30,348.72"
,2025-04-28,Makestickers,,$314.22,"$30,034.50"
,2025-04-28,Vista Print,,$97.20,"$29,937.30"
,2025-04-28,Custom Lanyards,,$867.32,"$29,069.98"
,2025-04-29,Card Fee,,$0.01,"$29,069.97"
,2025-04-29,Send SMS Info,,$1.14,"$29,068.83"
,2025-04-29,Little Caesar's,,$25.43,"$29,043.40"
,2025-04-29,Walmart,,$24.14,"$29,019.26"
,2025-04-30,Little Caesars,,$13.98,"$29,005.28"
,2025-04-30,PB&T,,"$1,500.00","$27,505.28"
,2025-05-01,Colorado Secretary of State,,$10.00,"$27,495.28"
,2025-05-01,Little Caesar's,,$29.02,"$27,466.26"
,2025-05-01,Family Dollar,,$15.86,"$27,450.40"
,2025-05-03,SQ SAPO GUAPO,,$59.51,"$27,390.89"
,2025-05-03,SQ SAPO GUAPO,,$13.52,"$27,377.37"
,2025-05-03,Loaf N Jug,,$33.98,"$27,343.39"
,2025-05-04,7-11,,$28.30,"$27,315.09"
,2025-05-06,STEM Camp Payment,$48.54,,"$27,363.63"
,2025-05-06,Walmart,,$14.10,"$27,349.53"
,2025-05-06,Little Caesar's,,$30.25,"$27,319.28"
,2025-05-06,Walmart,,$29.49,"$27,289.79"
,2025-05-07,Send SMS Info,,$34.12,"$27,255.67"
,2025-05-07,International Card Fee,,$0.34,"$27,255.33"
,2025-05-08,Altitude - Pueblo,,$32.00,"$27,223.33"
,2025-05-10,Verizon,,$888.73,"$26,334.60"
,2025-05-10,First Choice,,$66.65,"$26,267.95"
,2025-05-12,Walmart,,$84.94,"$26,183.01"
,2025-05-12,Altitude,,$24.94,"$26,158.07"
,2025-05-12,First Choice,,$15.03,"$26,143.04"
,2025-05-12,Champion Xpress,,$16.00,"$26,127.04"
,2025-05-13,Meineke,,$59.53,"$26,067.51"
,2025-05-14,Little Caesar's,,$22.98,"$26,044.53"
,2025-05-16,Loaf N Jug - Walsenburg,,$31.01,"$26,013.52"
,2025-05-16,SECOM,,$64.95,"$25,948.57"
,2025-05-16,San Isabel Electric,,$100.53,"$25,848.04"
,2025-05-16,Imprint.con,,$584.15,"$25,263.89"
,2025-05-17,J & M Solutions,,"$2,000.00","$23,263.89"
,2025-05-18,City of Walsenburg,,$312.41,"$22,951.48"
,2025-05-19,Venmo - Cash Out,$20.00,,"$22,971.48"
,2025-05-19,Florence STEM Camp,$24.15,,"$22,995.63"
,2025-05-19,Donation,$882.71,,"$23,878.34"
,2025-05-19,Loaf N Jug,,$36.00,"$23,842.34"
,2025-05-20,STEM Camp Payment,$48.54,,"$23,890.88"
,2025-05-21,Refund from Summer Camp ,,$72.69,"$23,818.19"
,2025-05-21,Chipotle,,$7.41,"$23,810.78"
,2025-05-22,Chipolte,,$33.84,"$23,776.94"
,2025-05-22,Stem Camp,$48.54,,"$23,825.48"
,2025-05-23,Staples,,$255.33,"$23,570.15"
,2025-05-25,7-11,,$22.85,"$23,547.30"
,2025-05-27,Sam's Club,,$33.00,"$23,514.30"
,2025-05-28,Amazon,,$234.76,"$23,279.54"
,2025-05-28,Love's,,$17.04,"$23,262.50"
,2025-05-28,BOCES,"$6,876.78",,"$30,139.28"
,2025-05-28,STEM School payment,$24.27,,"$30,163.55"
,2025-05-29,Amazon - Laptop Charger,,$14.05,"$30,149.50"
,2025-05-30,Dollar General,,$46.75,"$30,102.75"
,2025-05-30,PB&T,,"$1,500.00","$28,602.75"
,2025-05-30,PAX 8 Donation,$72.82,,"$28,675.57"
,2025-06-01,Colorado Secretary of State,,$25.00,"$28,650.57"
,2025-06-01,7-11,,$29.39,"$28,621.18"
,2025-06-02,Safeway,,$35.76,"$28,585.42"
,2025-06-03,Loaf N Jug,,$41.00,"$28,544.42"
,2025-06-03,Walmart,,$128.28,"$28,416.14"
,2025-06-03,Harbor Freight,,$111.88,"$28,304.26"
,2025-06-04,Family Dollar,,$25.30,"$28,278.96"
,2025-06-06,Amazon,,$471.41,"$27,807.55"
,2025-06-06,Amazon,,$423.79,"$27,383.76"
,2025-06-06,Imprint,,$624.99,"$26,758.77"
,2025-06-06,Papa Bear'z,,$8.95,"$26,749.82"
,2025-06-06,Papa Bear'z,,$7.33,"$26,742.49"
,2025-06-06,Papa Bear'z,,$7.33,"$26,735.16"
,2025-06-07,Murray Security,,$15.00,"$26,720.16"
,2025-06-07,Murray Security,,$15.00,"$26,705.16"
,2025-06-07,Murray Security,,$15.00,"$26,690.16"
,2025-06-07,Murray Security,,$15.00,"$26,675.16"
,2025-06-07,Papa Bear'z,,$23.00,"$26,652.16"
,2025-06-07,Papa Bear'z,,$16.24,"$26,635.92"
,2025-06-07,Rotary Club Donation for Summer Camp,$750.00,,"$27,385.92"
,2025-06-08,Southpark Market,,$16.99,"$27,368.93"
,2025-06-08,Loaf N Jug,,$37.99,"$27,330.94"
,2025-06-08,Superior Car Wash,,$14.00,"$27,316.94"
,2025-06-08,First Choice,,$41.58,"$27,275.36"
,2025-06-10,Verizon,,$884.23,"$26,391.13"
,2025-06-10,Circle K,,$7.92,"$26,383.21"
,2025-06-11,Gaylord of the Rockies,,$13.00,"$26,370.21"
,2025-06-11,Beaver Run Resort,,$307.26,"$26,062.95"
,2025-06-11,Ruby Tuesdays,,$142.96,"$25,919.99"
,2025-06-11,Gaylord of the Rockies,,$6.18,"$25,913.81"
,2025-06-11,Trinidad Travel Plaza,,$25.03,"$25,888.78"
,2025-06-12,Circle K,,$18.58,"$25,870.20"
,2025-06-12,Amazon - Pirate Decorations,,$168.35,"$25,701.85"
,2025-06-13,Amazon,,$13.76,"$25,688.09"
,2025-06-13,First Choice,,$43.23,"$25,644.86"
,2025-06-13,Lowe's,,$33.00,"$25,611.86"
,2025-06-13,Payment for Invoice 7,,"$1,000.00","$24,611.86"
,2025-06-14,Amazon,,$120.96,"$24,490.90"
,2025-06-14,Paypal,,$1.00,"$24,489.90"
,2025-06-14,Sam's Club,,$177.04,"$24,312.86"
,2025-06-14,Cash Withdrawal,,"$1,000.00","$23,312.86"
,2025-06-15,7-11,,$28.30,"$23,284.56"
,2025-06-16,Amazon,,$26.36,"$23,258.20"
,2025-06-16,Walmart,,$16.70,"$23,241.50"
,2025-06-17,Walmart,,$26.13,"$23,215.37"
,2025-06-17,J & M Solutions,,"$2,000.00","$21,215.37"
,2025-06-17,Greenhorn Valley Ace,,$13.07,"$21,202.30"
,2025-06-17,SECOM,,$64.95,"$21,137.35"
,2025-06-17,San Isabel Electric,,$86.59,"$21,050.76"
,2025-06-18,City of Walsenburg,,$193.05,"$20,857.71"
,2025-06-18,Loaf N Jug,,$27.01,"$20,830.70"
,2025-06-18,Einstein's Bagel,,$50.35,"$20,780.35"
,2025-06-18,Einstein's Bagel,,$202.37,"$20,577.98"
,2025-06-18,Harbor Freight,,$28.23,"$20,549.75"
,2025-06-19,Family Dollar,,$19.74,"$20,530.01"
,2025-06-19,Subway,,$396.39,"$20,133.62"
,2025-06-20,Walmart,,$24.06,"$20,109.56"
,2025-06-21,Staples,,$75.54,"$20,034.02"
,2025-06-21,Amazon,,$50.85,"$19,983.17"
,2025-06-21,Walmart,,$94.52,"$19,888.65"
,2025-06-23,TA Express,,$35.00,"$19,853.65"
,2025-06-23,Carl's Jr,,$23.59,"$19,830.06"
,2025-06-23,Carl's Jr,,$23.10,"$19,806.96"
,2025-06-23,Loaf N Jug,,$51.87,"$19,755.09"
,2025-06-24,Amazon,,$169.73,"$19,585.36"
,2025-06-24,Mission at the B,,$107.17,"$19,478.19"
,2025-06-24,Amazon,,$349.69,"$19,128.50"
,2025-06-24,Tees Me Treat Me,,$178.93,"$18,949.57"
,2025-06-25,Walmart,,$49.00,"$18,900.57"
,2025-06-25,Flatt's Square,,$192.72,"$18,707.85"
,2025-06-25,Cash Withdrawal,,"$2,000.00","$16,707.85"
,2025-06-27,Amazon,,$524.39,"$16,183.46"
,2025-06-27,Dominos,,$123.43,"$16,060.03"
,2025-06-27,BOCES,"$6,876.78",,"$22,936.81"
,2025-06-28,Amazon,,$63.77,"$22,873.04"
,2025-06-28,Domino's,,$150.00,"$22,723.04"
,2025-06-29,Rocket Fizz,,$26.46,"$22,696.58"
,2025-06-29,7-11,,$28.30,"$22,668.28"
,2025-06-30,Loaf N Jug,,$43.92,"$22,624.36"
,2025-06-30,Dollar General,,$10.35,"$22,614.01"
,2025-06-30,PB&T,,"$1,500.00","$21,114.01"
,2025-07-01,Amazon,,$43.50,"$21,070.51"
,2025-07-01,Amazon,,$222.58,"$20,847.93"
,2025-07-01,Harbor Freight,,$48.28,"$20,799.65"
,2025-07-02,Stem Speaker Box Kit,,$268.70,"$20,530.95"
,2025-07-03,Sam's Club,,$119.94,"$20,411.01"
,2025-07-06,Microsoft Store,,$29.99,"$20,381.02"
,2025-07-06,7-11,,$28.30,"$20,352.72"
,2025-07-07,Carl's Jr,,$15.31,"$20,337.41"
,2025-07-07,Loaf N Jug,,$33.99,"$20,303.42"
,2025-07-07,Fazoli's,,$28.80,"$20,274.62"
,2025-07-07,Paypal - 3d printed supplies,,$340.00,"$19,934.62"
,2025-07-08,Papa's Italian,,$97.16,"$19,837.46"
,2025-07-08,Walmart,,$29.46,"$19,808.00"
,2025-07-08,Dollar General,,$10.25,"$19,797.75"
,2025-07-09,Big D Super Foods - Florence,,$7.18,"$19,790.57"
,2025-07-09,Cash Withdrawl,,"$1,000.00","$18,790.57"
,2025-07-10,Verizon,,$971.81,"$17,818.76"
,2025-07-10,Sam's Club,,$17.00,"$17,801.76"
,2025-07-10,Sam's Club,,$105.41,"$17,696.35"
,2025-07-10,Oak Creek Grill,,$434.26,"$17,262.09"
,2025-07-10,Safeway,,$22.62,"$17,239.47"
,2025-07-11,Payment for Stem Camp - Florence,$485.50,,"$17,724.97"
,2025-07-11,Circle K,,$37.01,"$17,687.96"
,2025-07-11,Smokin Joe's Barbq First Firday,,$5.41,"$17,682.55"
,2025-07-12,Dominos,,$181.47,"$17,501.08"
,2025-07-12,Smokin Joes Barbq - First Friday,,$13.32,"$17,487.76"
,2025-07-13,Safeway,,$48.10,"$17,439.66"
,2025-07-14,Safeway,,$50.95,"$17,388.71"
,2025-07-15,Camp Tuition,$485.50,,"$17,874.21"
,2025-07-15,7-11,,$27.42,"$17,846.79"
,2025-07-15,7-11,,$7.40,"$17,839.39"
,2025-07-16,SECOM,,$64.95,"$17,774.44"
,2025-07-16,San Isabel,,$156.02,"$17,618.42"
,2025-07-16,Glass Force,,"$1,242.24","$16,376.18"
,2025-07-16,First Choice,,$11.95,"$16,364.23"
,2025-07-16,Big O,,"$1,258.01","$15,106.22"
,2025-07-16,Loaf N Jug,,$59.02,"$15,047.20"
,2025-07-17,Intern,,$500.00,"$14,547.20"
,2025-07-17,Helpers for Camp,,"$1,700.00","$12,847.20"
,2025-07-17,Teacher Pay,,"$2,000.00","$10,847.20"
,2025-07-18,KFC,,$72.81,"$10,774.39"
,2025-07-19,Gub Gub's,,$79.54,"$10,694.85"
,2025-07-19,City of Walsenburg,,$136.86,"$10,557.99"
,2025-07-20,Carl's Jr,,$44.71,"$10,513.28"
,2025-07-22,B Street Cafe,,$80.80,"$10,432.48"
,2025-07-22,Pueblo Arc,,$24.00,"$10,408.48"
,2025-07-22,Loaf N Jug,,$40.99,"$10,367.49"
,2025-07-23,Superior Car Wash,,$14.00,"$10,353.49"
,2025-07-26,Imprint,,$701.84,"$9,651.65"
,2025-07-27,7-11,,$22.85,"$9,628.80"
,2025-07-28,Amazon,,$29.71,"$9,599.09"
,2025-07-28,Dollar General,,$21.24,"$9,577.85"
,2025-07-28,BOCES,"$9,805.77",,"$19,383.62"
,2025-07-30,Dominos,,$39.00,"$19,344.62"
,2025-07-30,PB&T,,"$1,500.00","$17,844.62"
,2025-07-31,Loaf N Jug,,$30.02,"$17,814.60"
,2025-08-01,Amazon,,$10.86,"$17,803.74"
,2025-08-04,Dollar General,,$22.77,"$17,780.97"
,2025-08-05,Safeway,,$3.69,"$17,777.28"
,2025-08-05,Loaf N Jug,,$32.54,"$17,744.74"
,2025-08-05,Walmart,,$42.85,"$17,701.89"
,2025-08-08,Code Monkey,,$750.00,"$16,951.89"
,2025-08-09,Sam's Club,,$229.59,"$16,722.30"
,2025-08-10,Verizon WIreless,,$946.85,"$15,775.45"
,2025-08-10,Sam's Club - Gas,,$29.00,"$15,746.45"
,2025-08-11,Papa's Italian Restaurant,,$27.47,"$15,718.98"
,2025-08-11,Blaze AI,,$157.14,"$15,561.84"
,2025-08-12,Walmart,,$11.02,"$15,550.82"
,2025-08-13,Amazon - Keyboard,,$21.45,"$15,529.37"
,2025-08-13,Little Caesar's,,$19.35,"$15,510.02"
,2025-08-13,Love's - Pueblo,,$37.50,"$15,472.52"
,2025-08-13,Blaze AI,,$157.14,"$15,315.38"
,2025-08-14,Amazon,,$84.99,"$15,230.39"
,2025-08-16,New Horizons,,$16.00,"$15,214.39"
,2025-08-16,Loaf n Jug,,$34.59,"$15,179.80"
,2025-08-16,San Isabel Electric Coop,,$276.64,"$14,903.16"
,2025-08-17,City of Walsenburg,,$135.11,"$14,768.05"
,2025-08-17,J & M Solutions,,"$2,000.00","$12,768.05"
,2025-08-18,UPS,,$29.39,"$12,738.66"
,2025-08-18,Papas Italian,,$22.24,"$12,716.42"
,2025-08-18,UPS,,$40.82,"$12,675.60"
,2025-08-18,UPS,,$9.05,"$12,666.55"
,2025-08-18,UPS,,$9.05,"$12,657.50"
,2025-08-19,SECOM,,$64.95,"$12,592.55"
,2025-08-19,Little Caesars,,$21.50,"$12,571.05"
,2025-08-20,Circle K,,$30.00,"$12,541.05"
,2025-08-22,Amazon,,$219.88,"$12,321.17"
,2025-08-23,Loaf N Jug - Walsenburg,,$26.02,"$12,295.15"
,2025-08-25,Papa Italian,,$25.89,"$12,269.26"
,2025-08-25,Payment to Intern,,$500.00,"$11,769.26"
,2025-08-25,Loaf N Jug,,$32.00,"$11,737.26"
,2025-08-25,7-11,,$29.00,"$11,708.26"
,2025-08-27,Little Caesar's,,$22.57,"$11,685.69"
,2025-08-27,Little Caesars,,$9.95,"$11,675.74"
,2025-08-27,Walmart,,$152.61,"$11,523.13"
,2025-08-27,Makestickers,,$125.99,"$11,397.14"
,2025-08-28,Dollar General,,$24.70,"$11,372.44"
,2025-08-28,BOCES,"$8,914.33",,"$20,286.77"
,2025-08-29,Loaf n Jug,,$41.02,"$20,245.75"
,2025-08-31,7-11,,$28.30,"$20,217.45"
,2025-09-01,Walmart,,$36.15,"$20,181.30"
,2025-09-02,Papa Italian,,$23.34,"$20,157.96"
,2025-09-02,Walmart,,$50.25,"$20,107.71"
,2025-09-02,PB&T,,"$1,500.00","$18,607.71"
,2025-09-03,Little Ceasar's,,$21.50,"$18,586.21"
,2025-09-03,National Cyber League,,$450.00,"$18,136.21"
,2025-09-03,Maverick,,$37.90,"$18,098.31"
,2025-09-04,Little Caesar's,,$19.91,"$18,078.40"
,2025-09-05,BOCES,$445.72,,"$18,524.12"
,2025-09-05,Popcorn,,$33.25,"$18,490.87"
,2025-09-07,Safeway,,$31.06,"$18,459.81"
,2025-09-08,Walmart,,$84.04,"$18,375.77"
,2025-09-08,7-11,,$28.30,"$18,347.47"
,2025-09-08,Maverick,,$31.00,"$18,316.47"
,2025-09-09,Champion Express,,$26.00,"$18,290.47"
